time,ax,ay,az,wx,wy,wz
4.817,-0.18,-0.08,0.2,0.22,-0.2,-0.16
4.828,-0.17,-0.05,0.24,0.23,-0.2,-0.16
4.842,-0.17,-0.05,0.24,0.24,-0.21,-0.16
4.855,-0.17,-0.49,1.06,0.25,-0.33,-0.22
4.866,-0.12,-0.6,1.26,0.21,-0.4,-0.29
4.877,-0.02,-0.64,1.46,0.14,-0.47,-0.37
4.889,0.1,-0.67,1.72,0.06,-0.5,-0.45
4.901,0.24,-0.74,1.94,0,-0.53,-0.52
4.914,0.53,-0.6,2.28,-0.02,-0.53,-0.58
4.926,0.52,-0.66,2.34,-0.01,-0.48,-0.63
4.938,0.62,-0.66,2,0.02,-0.23,-0.64
4.949,0.72,-0.67,1.21,-0.03,0.08,-0.58
4.961,0.77,-0.74,0.44,-0.16,0.4,-0.48
4.974,0.84,-0.97,-0.77,-0.29,0.58,-0.38
4.985,0.84,-0.97,-0.77,-0.43,0.69,-0.31
5.002,0.77,-1.04,-1.13,-0.52,0.68,-0.28
5.014,0.71,-0.92,-1.44,-0.59,0.58,-0.28
5.028,0.55,-0.78,-1.43,-0.57,0.52,-0.29
5.044,0.29,-0.39,-1.07,-0.37,0.32,-0.36
5.054,0.18,-0.21,-0.91,-0.16,0.15,-0.44
5.065,0.09,-0.27,-0.96,0,0.01,-0.49
5.077,0.09,-0.23,-1.05,0.14,-0.19,-0.53
5.089,-0.08,-0.23,-1.16,0.14,-0.26,-0.51
5.101,-0.17,-0.29,-1.23,0.07,-0.29,-0.43
5.112,-0.21,-0.41,-1.14,0.04,-0.28,-0.41
5.129,-0.17,-0.45,-0.94,-0.09,-0.23,-0.3
5.141,0.03,-0.38,-0.09,-0.21,-0.11,-0.2
5.155,0,-0.43,0.67,-0.23,-0.07,-0.19
5.167,0,-0.43,0.67,-0.22,-0.05,-0.2
5.179,0.07,-0.58,0.83,-0.19,-0.01,-0.23
5.19,0.18,-0.66,0.84,-0.17,-0.01,-0.25
5.201,0.17,-0.62,0.88,-0.15,-0.02,-0.27
5.211,0.11,-0.46,0.84,-0.13,-0.02,-0.28
5.228,0.06,-0.34,0.75,-0.11,-0.01,-0.28
5.238,-0.07,-0.2,0.46,-0.1,0.01,-0.26
5.249,-0.11,-0.19,0.28,-0.09,0.04,-0.23
5.259,-0.17,-0.23,0.15,-0.08,0.06,-0.2
5.273,-0.16,-0.25,0.04,-0.07,0.06,-0.18
